state_id,nation_id,name,abbreviation,population,main_language_id
1321,80,"Alta Verapaz","ALT",776246,0
1322,80,"Jalapa","JAL",242926,0
1323,80,"Sololá","SOL",307661,0
1324,80,"Suchitepéquez","SUC",403945,0
1325,80,"Chiquimula","CHI",302485,0
1326,80,"San Marcos","SAN",794951,0
1327,80,"Sacatepéquez","SAC",248019,0
1328,80,"Retalhuleu","RET",241411,0
1329,80,"Zacapa","ZAC",200167,0
1330,80,"Jutiapa","JUT",389085,0
1331,80,"Petén","PET",366735,0
1332,80,"Santa Rosa","SAN",301370,0
1333,80,"Baja Verapaz","BAJ",215915,0
1334,80,"El Progreso","EL ",139490,0
1335,82,"Bissau","BIS",388028,0
1336,82,"Bafata","BAF",22521,0
1337,82,"Gabú","GAB",14430,0
1338,82,"Oio","OIO",27301,0
1339,82,"Bolama","BOL",20710,0
1340,82,"Cacheu","CAC",17343,0
1341,82,"Tombali","TOM",9898,0
1342,82,"Quinara","QUI",16178,0
1343,82,"Biombo","BIO",3128,0
1344,81,"Conakry","CON",1871242,0
1345,81,"Nzérékoré","NZé",132728,0
1346,81,"Kindia","KIN",117062,0
1347,81,"Kankan","KAN",114009,0
1348,81,"Kissidougou","KIS",47099,0
1349,81,"Labé","LAB",46510,0
1350,81,"Siguiri","SIG",43601,0
1351,81,"Macenta","MAC",43102,0
1352,81,"Mamou","MAM",41619,0
1353,81,"Télimélé","TéL",30311,0
1354,81,"Tougué","TOU",25531,0
1355,81,"Pita","PIT",20052,0
1356,81,"Boké","BOK",15460,0
1357,81,"Kouroussa","KOU",14223,0
1358,81,"Beyla","BEY",14054,0
1359,81,"Koundara","KOU",13990,0
1360,81,"Dabola","DAB",13057,0
1361,81,"Dalaba","DAL",12824,0
1362,81,"Forécariah","FOR",12358,0
1363,81,"Guinea","GUI",43396,0
1364,81,"Mandiana","MAN",10609,0
1365,81,"Koubia","KOU",9909,0
1366,81,"Faranah","FAR",9350,0
1367,81,"Fria","FRI",9326,0
1368,81,"Gaoual","GAO",7461,0
1369,81,"Kérouane","KéR",7228,0
1370,81,"Dinguiraye","DIN",6062,0
1371,81,"Guéckédou","GUé",5533,0
1372,81,"Mali","MAL",5479,0
1373,81,"Yomou","YOM",3614,0
1374,81,"Boffa","BOF",2332,0
1375,81,"Lola","LOL",1982,0
1376,81,"Coyah","COY",1632,0
1377,83,"Demerara-Mahaica","DEM",243670,0
1378,83,"Upper Demerara-Berbice","UPP",49257,0
1379,83,"East Berbice-Corentyne","EAS",55747,0
1380,83,"Cuyuni-Mazaruni","CUY",11157,0
1381,83,"Mahaica-Berbice","MAH",10165,0
1382,83,"Essequibo Islands-West Demerara","ESS",3073,0
1383,83,"Pomeroon-Supenaam","POM",1331,0
1384,84,"Artibonite","ART",275946,0
1385,84,"Nord-Ouest","NOR",46501,0
1386,84,"Sud-Est","SUD",33563,0
1387,84,"GrandAnse","GRA",50199,0
1388,84,"Nord-Est","NOR",34000,0
1389,86,"Distrito Central","DIS",850848,0
1390,86,"Cortés","COR",1202510,0
1391,86,"Atlántida","ATL",344099,0
1392,86,"Yoro","YOR",465414,0
1393,86,"Choluteca","CHO",390805,0
1394,86,"Comayagua","COM",352881,0
1395,86,"El Paraíso","EL ",350054,0
1396,86,"Olancho","OLA",419561,0
1397,86,"Colón (Honduras)","COL",246708,0
1398,86,"Copán","COP",288766,0
1399,86,"Valle","VAL",151841,0
1400,86,"Santa Barbara","SAN",342054,0
1401,86,"Intibucá","INT",179862,0
1402,86,"Francisco Morazán","FRA",1180676,0
1403,86,"Ocotepeque","OCO",108029,0
1404,86,"Lempira","LEM",250067,0
1405,86,"Islas de la Bahía","ISL",38073,0
1406,86,"Gracias a Dios","GRA",67384,0
1407,88,"Budapest","BUD",1708087,0
1408,88,"Hajdú-Bihar","HAJ",523540,0
1409,88,"Borsod-Abaúj-Zemplén","BOR",544005,0
1410,88,"Csongrad","CSO",394403,0
1411,88,"Baranya","BAR",277808,0
1412,88,"Gyor-Moson-Sopron","GYO",321662,0
1413,88,"Szabolcs-Szatmar-Bereg","SZA",443816,0
1414,88,"Bacs-Kiskun","BAC",475873,0
1415,88,"Fejér","FEJ",358978,0
1416,88,"Vas","VAS",167198,0
1417,88,"Jasz-Nagykun-Szolnok","JAS",375939,0
1418,88,"Komarom-Esztergom","KOM",272242,0
1419,88,"Somogy","SOM",198419,0
1420,88,"Békés","BéK",356372,0
1421,88,"Zala","ZAL",181739,0
1422,88,"Veszprém","VES",249157,0
1423,88,"Pest","PES",1065510,0
