player_id,opponent_id,ab,h,hr
137,23917,1,0,0
137,32810,3,1,0
137,29694,1,0,0
137,18,3,0,0
137,31276,1,0,0
137,31916,1,0,0
137,29875,1,0,0
137,33104,1,0,0
137,19111,6,0,0
137,39701,1,0,0
137,32903,3,0,0
137,30307,2,0,0
137,33877,2,1,0
137,24979,1,0,0
137,29876,2,0,0
137,819,2,0,0
137,18573,2,0,0
137,30257,1,1,1
137,32476,1,0,0
137,32560,3,0,0
137,19097,2,1,0
137,34883,2,0,0
137,31866,1,0,0
137,32542,1,0,0
137,30765,1,1,0
137,30533,1,0,0
137,33682,6,1,0
137,29661,1,1,1
137,30305,6,0,0
137,36902,1,0,0
137,36246,3,0,0
137,33870,1,0,0
137,34119,1,1,1
137,27923,2,0,0
137,21156,1,1,0
137,21270,1,0,0
137,9,3,1,1
137,30323,3,1,1
137,28869,1,0,0
137,20705,1,0,0
137,34302,2,1,0
137,470,1,0,0
137,22682,1,0,0
182,28955,1,0,0
182,26155,1,1,0
182,29112,1,0,0
182,29716,1,1,1
182,716,2,1,1
182,29141,1,1,0
182,23787,1,0,0
182,23198,3,0,0
182,20840,1,0,0
182,28475,2,1,0
182,24391,1,0,0
182,34232,2,1,1
182,30127,1,0,0
182,32804,2,1,0
182,102,1,0,0
182,21424,3,1,0
214,32903,1,0,0
214,33877,1,0,0
229,19,4,1,0
229,26192,3,2,0
229,23697,2,1,0
229,18701,1,0,0
229,18646,3,1,0
229,31041,3,2,0
229,26439,1,0,0
229,33730,1,0,0
229,18580,3,1,0
229,29737,1,1,0
229,21901,1,0,0
229,31866,1,1,0
229,713,1,0,0
229,32542,2,0,0
229,33340,1,1,1
229,35329,2,0,0
229,32476,1,0,0
229,25376,2,0,0
229,32560,3,1,0
229,36246,4,2,0
229,34119,5,3,0
229,27923,1,0,0
229,31829,1,0,0
229,33870,1,1,0
229,9,3,1,0
229,22954,1,0,0
229,33682,3,1,0
229,426,1,0,0
229,30305,1,0,0
229,30323,4,1,0
229,33066,1,1,0
229,30563,4,1,0
229,30428,3,0,0
229,37227,1,0,0
229,35087,4,0,0
229,39,2,1,0
229,36871,1,0,0
229,32382,4,0,0
229,35452,1,0,0
229,23585,3,2,0
229,33889,2,0,0
229,34092,1,1,0
229,31540,4,1,0
229,37847,2,1,0
229,22458,2,0,0
229,37242,1,0,0
229,29844,2,1,0
229,22502,1,0,0
229,23747,1,1,0
229,32413,1,1,0
229,32412,1,0,0
229,18431,1,0,0
254,35139,2,1,0
254,25573,1,1,0
254,21460,2,0,0
254,31698,1,0,0
254,30185,1,0,0
254,29927,1,1,0
254,20158,4,0,0
254,31007,3,1,0
254,33870,1,1,0
254,36902,1,0,0
254,34119,2,0,0
254,27923,1,1,0
254,19111,1,0,0
254,30333,3,0,0
254,32512,1,0,0
254,32172,1,0,0
254,31335,1,1,0
254,18886,2,1,0
254,32502,1,0,0
256,28156,2,0,0
256,32334,2,0,0
470,30007,1,0,0
657,34836,3,0,0
657,32480,0,0,0
657,31084,1,0,0
713,9,1,0,0
713,36902,1,0,0
713,32810,2,0,0
918,30924,3,1,0
918,18701,1,0,0
918,36056,1,0,0
937,18431,1,0,0
937,29844,5,1,0
937,32412,1,0,0
937,18446,1,0,0
937,30236,1,0,0
937,37847,3,0,0
937,22458,1,1,0
937,31918,1,0,0
937,31041,4,1,0
937,18580,1,0,0
937,32480,1,0,0
937,29875,1,0,0
937,30007,3,0,0
937,23198,2,1,0
937,27459,1,0,0
937,20880,2,1,0
937,2090,1,1,0
937,23278,2,0,0
937,23787,1,1,0
937,33571,2,0,0
937,21158,2,2,0
