year,team_id,game_id,league_id,level_id,split_id,pa,ab,h,k,tb,s,d,t,hr,sb,cs,rbi,r,bb,ibb,hp,sh,sf,ci,gdp,g,gs,ebh,pitches_seen,avg,obp,slg,rc,rc27,iso,woba,ops,sbp,ws,kp,bbp,wpa,babip
0,0,0,0,0,0,33456,31691,7766,3357,10342,6007,1107,487,165,0,0,0,4769,1765,0,0,0,0,0,0,896,0,1759,0,0.2451,0.2849,0.3263,3076.9781,3.4725,0.0813,0.2850,0.6112,0.0000,0.0000,10.0341,5.2756,0.0000,0.2698
0,0,0,0,0,0,39732,36927,8876,4477,11838,6836,1300,558,182,1644,0,0,5570,2805,0,0,0,0,0,0,1120,0,2040,0,0.2404,0.2940,0.3206,3946.0507,3.7982,0.0802,0.2827,0.6146,100.0000,0.0000,11.2680,7.0598,0.0000,0.2694
0,0,0,0,0,0,38749,36000,9098,4501,12364,6891,1379,597,231,1599,0,0,5942,2749,0,0,0,0,0,0,1120,0,2207,0,0.2527,0.3057,0.3434,4252.8679,4.2684,0.0907,0.2969,0.6492,100.0000,0.0000,11.6158,7.0944,0.0000,0.2836
0,0,0,0,0,0,41318,38215,10487,2941,14281,7911,1621,692,263,3329,0,0,7008,3103,0,0,0,0,0,0,1120,0,2576,0,0.2744,0.3289,0.3737,5531.9306,5.3867,0.0993,0.3108,0.7026,100.0000,0.0000,7.1180,7.5100,0.0000,0.2920
0,0,0,0,0,0,39469,36519,9747,2955,13655,7231,1467,706,343,3016,0,0,6406,2950,0,0,0,0,0,0,1120,0,2516,0,0.2669,0.3217,0.3739,5144.0141,5.1878,0.1070,0.3066,0.6956,100.0000,0.0000,7.4869,7.4742,0.0000,0.2831
0,0,0,0,0,0,40178,37741,9038,4023,11951,7065,1260,486,227,2773,0,0,5415,2437,0,0,0,0,0,0,1120,0,1973,0,0.2395,0.2856,0.3167,4006.0482,3.7684,0.0772,0.2672,0.6023,100.0000,0.0000,10.0129,6.0655,0.0000,0.2631
0,0,0,0,0,0,39988,37698,8962,4209,12171,6909,1191,568,294,2487,0,0,5213,2290,0,0,0,0,0,0,1120,0,2053,0,0.2377,0.2814,0.3229,3956.1636,3.7172,0.0851,0.2670,0.6042,100.0000,0.0000,10.5257,5.7267,0.0000,0.2611
0,0,0,0,0,0,41825,38281,9984,3959,13349,7719,1456,518,291,2127,0,0,6146,3544,0,0,0,0,0,0,1120,0,2265,0,0.2608,0.3234,0.3487,4973.4135,4.7455,0.0879,0.3094,0.6722,100.0000,0.0000,9.4656,8.4734,0.0000,0.2848
0,0,0,0,0,0,41969,38197,10122,3710,13939,7622,1559,565,376,2689,0,0,6840,3772,0,0,0,0,0,0,1120,0,2500,0,0.2650,0.3311,0.3649,5402.1371,5.1953,0.0999,0.3190,0.6960,100.0000,0.0000,8.8399,8.9876,0.0000,0.2857
0,0,0,0,0,0,37015,33586,8497,3693,11060,6740,1122,464,171,2161,0,0,5441,3429,0,0,0,0,0,0,1120,0,1757,0,0.2530,0.3222,0.3293,4212.7665,4.5336,0.0763,0.3060,0.6515,100.0000,0.0000,9.9770,9.2638,0.0000,0.2801
