game_id,league_id,home_team,away_team,attendance,date,time,game_type,played,dh,innings,runs0,runs1,hits0,hits1,errors0,errors1,winning_pitcher,losing_pitcher,save_pitcher,starter0,starter1
5972,154,199,203,0,"2019-6-16",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5973,154,200,206,0,"2019-6-16",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5974,154,204,208,0,"2019-6-16",1830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5975,154,201,205,0,"2019-6-16",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5976,154,202,207,0,"2019-6-17",1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5977,154,199,203,0,"2019-6-17",1505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5978,154,201,205,0,"2019-6-17",1605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5979,154,200,206,0,"2019-6-17",1705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5980,154,204,208,0,"2019-6-17",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5981,154,203,200,0,"2019-6-21",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5982,154,208,201,0,"2019-6-21",1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5983,154,207,204,0,"2019-6-21",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5984,154,206,202,0,"2019-6-21",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5985,154,205,199,0,"2019-6-21",1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5986,154,203,200,0,"2019-6-22",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5987,154,208,201,0,"2019-6-22",1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5988,154,207,204,0,"2019-6-22",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5989,154,205,199,0,"2019-6-22",1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5990,154,206,202,0,"2019-6-22",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5991,154,205,199,0,"2019-6-23",1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5992,154,207,204,0,"2019-6-23",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5993,154,203,200,0,"2019-6-23",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5994,154,208,201,0,"2019-6-23",1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5995,154,206,202,0,"2019-6-23",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5996,154,208,201,0,"2019-6-24",1415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5997,154,205,199,0,"2019-6-24",1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5998,154,207,204,0,"2019-6-24",1705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5999,154,206,202,0,"2019-6-24",1705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6000,154,203,200,0,"2019-6-24",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6001,154,203,200,0,"2019-6-25",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6002,154,208,201,0,"2019-6-25",1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6003,154,207,204,0,"2019-6-25",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004,154,206,202,0,"2019-6-25",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6005,154,205,199,0,"2019-6-25",1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6006,154,208,201,0,"2019-6-26",1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6007,154,203,200,0,"2019-6-26",1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6008,154,207,204,0,"2019-6-26",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6009,154,206,202,0,"2019-6-26",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6010,154,205,199,0,"2019-6-26",1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6011,154,202,208,0,"2019-6-28",1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6012,154,199,207,0,"2019-6-28",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6013,154,200,205,0,"2019-6-28",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6014,154,201,206,0,"2019-6-28",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6015,154,204,203,0,"2019-6-28",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6016,154,202,208,0,"2019-6-29",1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6017,154,199,207,0,"2019-6-29",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6018,154,200,205,0,"2019-6-29",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6019,154,201,206,0,"2019-6-29",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6020,154,204,203,0,"2019-6-29",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6021,154,202,208,0,"2019-6-30",1530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6022,154,199,207,0,"2019-6-30",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6023,154,200,205,0,"2019-6-30",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6024,154,204,203,0,"2019-6-30",1830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6025,154,201,206,0,"2019-6-30",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6026,154,202,208,0,"2019-7-1",1730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6027,154,199,207,0,"2019-7-1",1505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6028,154,204,203,0,"2019-7-1",1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6029,154,201,206,0,"2019-7-1",1605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6030,154,200,205,0,"2019-7-1",1705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6031,154,202,208,0,"2019-7-2",1630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6032,154,199,207,0,"2019-7-2",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
