team_id,year,league_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
54,2019,150,1,1,619,159,680,257,160,128,91,50,73,68,164,168,2505,2,29,29,9,8,0,109,25,2,3,6,20,0,0,1,7,6,0,13,15,0,0,0,1,0,11,6,0,12.1754,0.2585,0.3186,0.4152,0.7338,9.0188,7.2150,1.1273,2.8184,0.0345,0.0000,0.5172,0.5294,3.1379,0.0000,0.0000,0.0000,3.8330,86.3793,0.0000,1.3152,0.4940,2.5600,0.2954
55,2019,150,1,1,593,157,648,229,143,122,76,42,57,56,156,174,2323,0,25,25,13,5,0,96,25,6,1,5,17,0,0,3,2,6,0,8,16,0,0,0,1,0,7,4,0,10.9490,0.2411,0.2975,0.3862,0.6837,8.1975,6.9936,0.9745,2.4076,0.0400,0.0000,0.6400,0.7222,3.0400,0.0000,0.0000,0.0000,3.2102,92.9200,0.0000,1.1783,0.4727,2.9048,0.2769
56,2019,150,1,1,557,142,635,266,152,114,71,60,86,80,139,156,2298,0,25,25,9,12,0,83,45,7,2,3,21,1,0,0,2,9,0,8,9,0,0,0,0,0,5,7,0,14.0070,0.2729,0.3519,0.4776,0.8295,9.6338,7.2254,1.3310,3.8028,0.0000,0.0000,0.3600,0.4286,2.8400,0.0000,0.0000,0.0000,5.0704,91.9200,0.0000,1.4930,0.4712,1.9000,0.3090
57,2019,150,1,1,597,154,654,236,150,175,88,44,67,65,148,123,2505,0,26,26,11,6,0,94,38,1,4,6,12,0,0,0,9,8,0,8,13,0,0,0,0,0,6,3,0,11.8052,0.2513,0.3093,0.3953,0.7047,8.7662,10.2273,0.7013,2.5714,0.0000,0.0000,0.5000,0.6471,3.3846,0.0000,0.0000,0.0000,3.7987,96.3462,0.0000,1.2597,0.5461,3.9773,0.3333
58,2019,150,1,1,582,150,640,274,150,96,94,49,88,80,159,177,2358,1,26,26,6,11,0,86,32,2,3,4,28,1,0,0,8,4,0,18,11,0,0,0,0,0,9,0,0,12.1530,0.2577,0.3182,0.4708,0.7890,8.9800,5.7472,1.6763,2.9335,0.0000,0.0000,0.4231,0.3529,3.6154,0.0000,0.0000,0.0000,4.7894,90.6923,0.0000,1.3237,0.4732,1.9592,0.2646
59,2019,150,1,1,487,125,550,206,134,92,66,50,79,76,131,131,2023,0,25,25,6,12,0,91,28,0,7,1,14,0,0,0,8,6,0,13,6,0,0,0,1,1,10,2,0,13.6800,0.2752,0.3455,0.4230,0.7685,9.6480,6.6240,1.0080,3.6000,0.0400,0.0000,0.2400,0.3333,2.6400,0.0000,0.0000,0.0000,5.4720,80.9200,0.0000,1.4720,0.5000,1.8400,0.3093
60,2019,150,1,1,500,133,545,190,115,139,88,35,65,64,111,139,2056,2,24,24,8,7,0,75,22,4,2,1,17,0,0,0,3,4,0,8,13,0,0,0,0,0,7,0,0,10.3691,0.2300,0.2847,0.3800,0.6647,7.7431,9.3591,1.1446,2.3566,0.0000,0.0000,0.5417,0.5333,3.6667,0.0000,0.0000,0.0000,4.3092,85.6667,0.0000,1.1222,0.4440,3.9714,0.2832
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
157,2019,151,2,1,419,104,468,186,123,72,63,41,68,59,109,114,1690,1,23,23,4,10,0,84,26,3,2,2,11,0,0,0,6,3,0,11,4,0,0,0,0,0,14,3,0,14.4058,0.2936,0.3591,0.4439,0.8031,10.6102,6.2109,0.9489,3.5367,0.0000,0.0000,0.1739,0.2857,2.7391,0.0000,0.0000,0.0000,5.0895,73.4783,0.0000,1.5719,0.4888,1.7561,0.3314
158,2019,151,2,1,417,108,462,165,109,100,56,33,52,49,119,91,1767,1,23,23,8,8,0,78,17,4,2,3,11,1,0,0,7,6,0,10,3,0,0,0,0,0,4,2,0,12.2954,0.2614,0.3231,0.3957,0.7188,9.0554,8.3077,0.9138,2.7415,0.0000,0.0000,0.1304,0.5000,2.4348,0.0000,0.0000,0.0000,4.0708,76.8261,0.0000,1.3108,0.5667,3.0303,0.3182
159,2019,151,2,1,433,109,487,172,124,67,91,38,57,55,119,125,1796,0,22,22,10,6,0,93,22,3,3,1,8,0,1,0,8,9,0,11,2,0,0,0,0,0,4,2,0,14.1193,0.2864,0.3540,0.3972,0.7513,10.2385,5.5321,0.6606,3.1376,0.0000,0.0000,0.0909,0.6250,4.1364,0.0000,0.0000,0.0000,4.5413,81.6364,0.0000,1.4862,0.4877,1.7632,0.3213
160,2019,151,2,1,438,113,488,182,112,110,53,40,59,53,104,112,1779,0,22,22,6,9,0,74,21,2,2,2,15,0,0,4,3,6,0,6,9,0,0,0,0,0,7,4,0,12.5841,0.2557,0.3251,0.4155,0.7406,8.9204,8.7611,1.1947,3.1858,0.0000,0.0000,0.4091,0.4000,2.4091,0.0000,0.0000,0.0000,4.2212,80.8636,0.0000,1.3451,0.4815,2.7500,0.3079
161,2019,151,2,1,414,107,455,174,111,101,71,31,52,42,94,108,1774,0,23,23,7,6,0,72,26,3,4,2,11,0,0,0,3,3,0,9,3,0,0,0,0,0,10,5,0,12.1963,0.2681,0.3208,0.4203,0.7411,9.3364,8.4953,0.9252,2.6075,0.0000,0.0000,0.1304,0.5385,3.0870,0.0000,0.0000,0.0000,3.5327,77.1304,0.0000,1.3271,0.4653,3.2581,0.3268
162,2019,152,2,1,450,116,501,182,117,80,78,40,60,51,121,131,1847,1,23,23,7,3,0,81,20,2,5,3,13,1,1,1,6,3,0,11,5,0,0,0,0,0,5,2,0,12.3782,0.2600,0.3213,0.4044,0.7257,9.0516,6.1891,1.0057,3.0946,0.0000,0.0000,0.2174,0.7000,3.3913,0.0000,0.0000,0.0000,3.9456,80.3043,0.0000,1.3496,0.4802,2.0000,0.2873
163,2019,151,2,1,432,109,493,194,123,99,76,49,71,67,105,110,1868,0,22,22,8,7,0,83,21,3,6,7,12,0,0,0,1,3,0,8,5,0,0,0,0,0,10,4,0,14.4495,0.2847,0.3571,0.4491,0.8062,10.1560,8.1743,0.9908,4.0459,0.0000,0.0000,0.2273,0.5333,3.4545,0.0000,0.0000,0.0000,5.5321,84.9091,0.0000,1.5780,0.4884,2.0204,0.3394
164,2019,151,2,1,420,105,466,178,120,92,60,43,50,48,118,90,1738,0,21,21,6,5,0,84,24,1,1,2,10,0,0,0,6,1,0,8,6,0,0,0,1,0,5,2,0,14.0571,0.2857,0.3527,0.4238,0.7765,10.2857,7.8857,0.8571,3.6857,0.0476,0.0000,0.2857,0.5455,2.8571,0.0000,0.0000,0.0000,4.1143,82.7619,0.0000,1.5524,0.5673,2.1395,0.3448
