year,team_id,game_id,league_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,ir,irs,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,irsp,gfp,era,pig,ws,whip,gbfbp,kbb,babip,wpa,ra9war
0,0,0,0,0,0,20239,4972,21073,5632,5323,1549,0,834,3303,1676,0,0,0,0,784,0,0,0,1,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,522,23,0,0,0,11.1450,0.2630,0.2922,0.2783,0.5704,9.6354,2.8039,0.1864,1.5097,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.0338,0.0000,0.0000,1.2383,0.0000,1.8573,0.2808,0.0000,''
0,0,0,0,0,0,22846,5705,23625,5980,5731,1834,0,779,3204,1657,0,0,0,0,896,0,0,0,1,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,614,45,0,0,0,10.2699,0.2509,0.2756,0.2618,0.5373,9.0410,2.8933,0.1309,1.2289,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.6140,0.0000,0.0000,1.1411,0.0000,2.3543,0.2699,0.0000,''
0,0,0,0,0,0,28021,6956,29301,7468,7153,2659,0,1280,4417,2445,0,0,0,0,896,0,0,0,5,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,735,38,0,0,0,10.9110,0.2553,0.2878,0.2665,0.5543,9.2549,3.4403,0.1359,1.6561,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.1635,0.0000,0.0000,1.2123,0.0000,2.0773,0.2791,0.0000,''
0,0,0,0,0,0,28418,6915,29457,8072,7673,2637,0,1039,4613,2514,0,0,0,0,896,0,0,0,8,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,714,37,0,0,0,11.3388,0.2700,0.2958,0.2840,0.5798,9.9866,3.4321,0.1731,1.3523,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.2720,0.0000,0.0000,1.2599,0.0000,2.5380,0.2940,0.0000,''
0,0,0,0,0,0,29244,7384,30602,7584,7092,3928,0,1358,4381,2439,0,0,0,0,896,0,0,0,1,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,799,49,0,0,0,10.2993,0.2425,0.2761,0.2593,0.5355,8.6441,4.7876,0.1999,1.6552,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.9728,0.0000,0.0000,1.1444,0.0000,2.8925,0.2754,0.0000,''
0,0,0,0,0,0,31714,7939,33392,8728,7897,3855,0,1678,4831,2805,0,0,0,0,896,0,0,0,5,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,863,67,0,0,0,10.8546,0.2490,0.2867,0.2752,0.5620,8.9524,4.3702,0.3140,1.9023,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.1799,0.0000,0.0000,1.2061,0.0000,2.2974,0.2763,0.0000,''
0,0,0,0,0,0,31326,7785,33042,8424,7971,3315,0,1716,4995,2833,0,0,0,0,896,0,0,0,7,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,851,41,0,0,0,11.1988,0.2545,0.2932,0.2689,0.5621,9.2150,3.8324,0.1746,1.9838,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.2751,0.0000,0.0000,1.2443,0.0000,1.9318,0.2807,0.0000,''
0,0,0,0,0,0,31133,7932,32946,7853,7337,3389,0,1813,4297,2462,0,0,0,0,896,0,0,0,7,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,859,72,0,0,0,10.3820,0.2357,0.2777,0.2522,0.5300,8.3249,3.8453,0.1952,2.0571,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.7935,0.0000,0.0000,1.1536,0.0000,1.8693,0.2599,0.0000,''
0,0,0,0,0,0,37110,9258,39943,9915,9336,4714,0,2833,6184,3716,0,0,0,0,1120,0,0,0,4,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,1022,49,0,0,0,11.8299,0.2516,0.3047,0.2672,0.5718,9.0758,4.5826,0.1876,2.7541,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.6124,0.0000,0.0000,1.3144,0.0000,1.6640,0.2839,0.0000,''
0,0,0,0,0,0,35689,9017,38429,9298,8638,4337,0,2740,5328,3123,0,0,0,0,1120,0,0,0,7,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,983,54,0,0,0,11.3565,0.2420,0.2961,0.2605,0.5566,8.6217,4.3288,0.2196,2.7348,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.1171,0.0000,0.0000,1.2618,0.0000,1.5828,0.2704,0.0000,''
