team_id,year,league_id,level_id,split_id,position,g,gs,tc,a,po,e,dp,tp,pb,sba,rto,er,ip,ipf,pct,range,rtop,cera
209,2019,155,3,0,0,22,220,812,194,599,19,10,0,3,19,7,0,1797,0,0.9766,3.9716,0.3684,0.0000
210,2019,155,3,0,0,22,220,804,199,588,17,15,0,0,22,6,0,1764,0,0.9789,4.0153,0.2727,0.0000
211,2019,155,3,0,0,22,220,800,181,611,8,16,0,4,18,7,0,1833,0,0.9900,3.8887,0.3889,0.0000
212,2019,155,3,0,0,22,220,817,222,582,13,24,0,1,12,3,0,1746,0,0.9841,4.1443,0.2500,0.0000
213,2019,155,3,0,0,22,220,812,192,603,17,13,0,1,13,3,0,1809,0,0.9791,3.9552,0.2308,0.0000
214,2019,155,3,0,0,22,220,878,261,608,9,25,0,1,24,9,0,1824,0,0.9897,4.2878,0.3750,0.0000
215,2019,155,3,0,0,22,220,789,189,591,9,11,0,2,15,4,0,1773,0,0.9886,3.9594,0.2667,0.0000
216,2019,155,3,0,0,22,220,794,193,589,12,18,0,4,21,6,0,1767,0,0.9849,3.9830,0.2857,0.0000
218,2019,156,4,0,0,22,220,824,219,587,18,20,0,2,14,5,0,1761,0,0.9782,4.1193,0.3571,0.0000
219,2019,156,4,0,0,23,230,842,210,621,11,19,0,3,17,6,0,1863,0,0.9869,4.0145,0.3529,0.0000
220,2019,156,4,0,0,23,230,835,240,590,5,26,0,5,26,13,0,1770,0,0.9940,4.2203,0.5000,0.0000
221,2019,156,4,0,0,23,230,847,210,622,15,24,0,5,17,2,0,1866,0,0.9823,4.0129,0.1176,0.0000
223,2019,156,4,0,0,23,230,801,183,606,12,21,0,1,20,6,0,1818,0,0.9850,3.9059,0.3000,0.0000
224,2019,156,4,0,0,23,230,845,224,606,15,20,0,2,16,7,0,1818,0,0.9822,4.1089,0.4375,0.0000
225,2019,157,4,0,0,23,230,827,209,609,9,17,0,2,26,8,0,1827,0,0.9891,4.0296,0.3077,0.0000
226,2019,156,4,0,0,22,220,786,190,587,9,22,0,2,21,9,0,1761,0,0.9885,3.9710,0.4286,0.0000
227,2019,157,4,0,0,23,230,824,200,615,9,13,0,1,17,6,0,1845,0,0.9891,3.9756,0.3529,0.0000
228,2019,158,4,0,0,23,230,852,200,640,12,14,0,1,13,4,0,1920,0,0.9859,3.9375,0.3077,0.0000
229,2019,157,4,0,0,23,230,875,231,625,19,20,0,17,19,2,0,1875,0,0.9783,4.1088,0.1053,0.0000
230,2019,157,4,0,0,23,230,840,200,621,19,12,0,2,22,4,0,1863,0,0.9774,3.9662,0.1818,0.0000
231,2019,157,4,0,0,23,230,830,214,603,13,24,0,0,18,8,0,1809,0,0.9843,4.0647,0.4444,0.0000
232,2019,157,4,0,0,23,230,845,207,627,11,17,0,1,17,1,0,1881,0,0.9870,3.9904,0.0588,0.0000
233,2019,156,4,0,0,23,230,841,209,621,11,23,0,2,20,6,0,1863,0,0.9869,4.0097,0.3000,0.0000
234,2019,157,4,0,0,23,230,884,234,631,19,25,0,4,20,7,0,1893,0,0.9785,4.1125,0.3500,0.0000
236,2019,158,4,0,0,23,230,860,234,613,13,19,0,3,13,3,0,1839,0,0.9849,4.1452,0.2308,0.0000
237,2019,158,4,0,0,23,230,902,234,651,17,31,0,1,16,3,0,1953,0,0.9812,4.0783,0.1875,0.0000
238,2019,158,4,0,0,23,230,883,232,640,11,18,0,2,15,5,0,1920,0,0.9875,4.0875,0.3333,0.0000
239,2019,158,4,0,0,23,230,783,168,606,9,14,0,5,23,4,0,1818,0,0.9885,3.8317,0.1739,0.0000
