player_id,league_id,streak_id,value,has_ended,started,ended
674,159,0,3,1,"2019-4-19","2019-4-26"
674,159,2,1,1,"2019-4-19","2019-4-22"
674,159,1,2,1,"2019-4-19","2019-4-24"
679,155,0,2,1,"2019-4-9","2019-4-13"
679,155,3,1,1,"2019-4-9","2019-4-11"
679,155,0,4,0,"2019-4-16",NULL
679,155,1,2,1,"2019-4-16","2019-4-18"
680,152,0,1,1,"2019-4-5","2019-4-5"
680,152,1,1,1,"2019-4-5","2019-4-8"
680,152,0,3,0,"2019-4-15",NULL
680,152,3,2,0,"2019-4-16",NULL
685,155,0,4,1,"2019-4-7","2019-4-24"
685,155,3,1,1,"2019-4-7","2019-4-11"
685,155,1,1,0,"2019-4-24",NULL
689,152,7,1,0,"2019-4-10",NULL
689,152,4,1,0,"2019-4-13",NULL
695,153,6,1,0,"2019-4-13",NULL
705,155,0,1,0,"2019-4-5",NULL
705,155,1,1,0,"2019-4-5",NULL
705,152,0,5,1,"2019-4-14","2019-4-22"
705,152,3,2,1,"2019-4-17","2019-4-21"
705,152,1,2,1,"2019-4-17","2019-4-21"
713,152,7,2,1,"2019-4-10","2019-4-21"
713,152,5,1,1,"2019-4-15","2019-4-21"
713,152,6,1,0,"2019-4-21",NULL
714,160,1,3,1,"2019-4-4","2019-4-6"
714,160,2,1,1,"2019-4-13","2019-4-14"
714,160,0,6,1,"2019-4-18","2019-4-25"
714,160,3,2,1,"2019-4-19","2019-4-22"
714,160,0,1,0,"2019-4-26",NULL
714,160,1,1,0,"2019-4-26",NULL
716,150,5,2,1,"2019-3-29","2019-4-9"
716,150,7,2,1,"2019-3-29","2019-4-9"
716,150,6,1,1,"2019-4-9","2019-4-14"
716,150,5,2,0,"2019-4-14",NULL
716,150,7,3,0,"2019-4-14",NULL
721,154,2,2,1,"2019-4-5","2019-4-9"
721,154,3,2,1,"2019-4-5","2019-4-9"
721,154,0,2,1,"2019-4-16","2019-4-20"
721,154,1,2,1,"2019-4-16","2019-4-20"
721,154,1,1,0,"2019-4-24",NULL
738,155,0,3,1,"2019-4-5","2019-4-11"
738,155,1,2,1,"2019-4-10","2019-4-12"
738,155,2,1,1,"2019-4-16","2019-4-18"
738,155,3,1,1,"2019-4-25","2019-4-26"
739,156,1,1,1,"2019-4-14","2019-4-16"
739,156,0,3,0,"2019-4-16",NULL
739,156,3,3,0,"2019-4-16",NULL
739,156,1,1,0,"2019-4-25",NULL
740,152,0,5,1,"2019-4-4","2019-4-8"
740,152,2,2,1,"2019-4-4","2019-4-5"
740,152,1,3,1,"2019-4-11","2019-4-15"
740,152,3,3,1,"2019-4-12","2019-4-16"
740,152,0,6,0,"2019-4-17",NULL
740,152,3,6,0,"2019-4-17",NULL
740,152,1,1,0,"2019-4-25",NULL
741,157,3,3,1,"2019-4-6","2019-4-10"
741,157,0,3,1,"2019-4-10","2019-4-13"
741,157,2,1,1,"2019-4-19","2019-4-20"
741,157,1,1,1,"2019-4-25","2019-4-26"
750,157,0,2,1,"2019-4-10","2019-4-15"
750,157,0,6,0,"2019-4-19",NULL
750,157,2,2,1,"2019-4-19","2019-4-23"
750,157,3,5,1,"2019-4-19","2019-4-26"
750,157,1,5,1,"2019-4-19","2019-4-26"
758,155,0,5,1,"2019-4-13","2019-4-20"
758,155,1,5,1,"2019-4-13","2019-4-20"
758,155,3,3,1,"2019-4-15","2019-4-20"
758,155,2,1,1,"2019-4-19","2019-4-20"
758,155,0,1,0,"2019-4-26",NULL
759,152,0,7,1,"2019-4-4","2019-4-13"
759,152,1,3,1,"2019-4-7","2019-4-13"
759,152,3,1,1,"2019-4-12","2019-4-13"
759,152,1,2,0,"2019-4-25",NULL
759,152,0,1,0,"2019-4-26",NULL
759,152,3,1,0,"2019-4-26",NULL
764,153,0,2,1,"2019-4-11","2019-4-14"
764,153,0,5,0,"2019-4-17",NULL
764,153,2,1,1,"2019-4-20","2019-4-23"
764,153,3,2,1,"2019-4-20","2019-4-24"
764,153,1,1,1,"2019-4-20","2019-4-23"
765,151,0,2,1,"2019-4-5","2019-4-11"
765,151,0,3,0,"2019-4-17",NULL
765,151,3,1,1,"2019-4-17","2019-4-19"
765,151,1,2,1,"2019-4-17","2019-4-21"
765,151,3,1,0,"2019-4-21",NULL
766,157,0,4,1,"2019-4-5","2019-4-12"
766,157,2,1,1,"2019-4-7","2019-4-8"
766,157,3,3,1,"2019-4-7","2019-4-12"
766,157,1,2,1,"2019-4-15","2019-4-22"
767,157,7,1,1,"2019-4-6","2019-4-11"
767,157,6,2,1,"2019-4-11","2019-4-26"
767,157,7,2,0,"2019-4-20",NULL
767,157,5,1,0,"2019-4-26",NULL
771,152,0,4,1,"2019-4-7","2019-4-18"
771,152,1,2,1,"2019-4-7","2019-4-12"
771,152,3,3,1,"2019-4-8","2019-4-18"
771,152,2,1,1,"2019-4-20","2019-4-26"
774,160,5,1,1,"2019-4-9","2019-4-20"
774,160,6,1,0,"2019-4-20",NULL
777,156,5,1,0,"2019-4-4",NULL
777,154,4,1,1,"2019-4-14","2019-4-18"
777,154,6,1,0,"2019-4-18",NULL
778,154,5,1,0,"2019-4-11",NULL
781,154,6,1,1,"2019-4-6","2019-4-9"
781,154,5,1,1,"2019-4-9","2019-4-16"
781,154,6,2,0,"2019-4-16",NULL
781,154,4,1,0,"2019-4-24",NULL
782,154,0,3,0,"2019-4-24",NULL
782,154,3,1,1,"2019-4-24","2019-4-25"
782,154,1,1,1,"2019-4-24","2019-4-25"
784,153,5,1,0,"2019-4-12",NULL
785,153,5,1,0,"2019-4-24",NULL
790,159,5,1,1,"2019-4-7","2019-4-19"
790,159,6,1,0,"2019-4-19",NULL
795,152,5,1,1,"2019-4-5","2019-4-6"
795,152,6,3,0,"2019-4-6",NULL
795,154,4,1,0,"2019-4-23",NULL
796,152,0,2,0,"2019-4-9",NULL
796,152,1,1,0,"2019-4-13",NULL
796,155,1,1,1,"2019-4-24","2019-4-25"
796,155,0,1,0,"2019-4-25",NULL
796,155,3,1,0,"2019-4-25",NULL
798,153,1,2,1,"2019-4-14","2019-4-16"
798,153,0,2,1,"2019-4-20","2019-4-23"
798,153,3,4,1,"2019-4-20","2019-4-26"
798,153,2,1,1,"2019-4-22","2019-4-23"
798,153,0,2,0,"2019-4-24",NULL
799,158,2,1,1,"2019-4-4","2019-4-5"
799,158,1,2,1,"2019-4-7","2019-4-10"
799,158,0,3,1,"2019-4-10","2019-4-14"
799,158,3,3,1,"2019-4-10","2019-4-14"
804,157,0,4,1,"2019-4-4","2019-4-10"
804,157,1,2,1,"2019-4-10","2019-4-13"
804,157,2,1,1,"2019-4-17","2019-4-18"
804,157,3,1,1,"2019-4-17","2019-4-18"
810,155,5,2,0,"2019-4-18",NULL
816,156,0,1,0,"2019-4-25",NULL
819,150,5,1,0,"2019-4-8",NULL
819,153,5,1,0,"2019-4-14",NULL
821,157,7,2,0,"2019-4-7",NULL
821,157,6,1,0,"2019-4-25",NULL
823,157,5,2,0,"2019-4-5",NULL
824,153,2,1,1,"2019-4-10","2019-4-11"
824,153,1,3,1,"2019-4-10","2019-4-13"
824,153,0,3,1,"2019-4-20","2019-4-24"
